DEP,1-Octanol,Octanoic-Acid,1-Pentanol,Dynamic viscosity / mPas
1,0,0,0,12.872
0,1,0,0,9.1845
0,0,0,1,4.02735
0,0,1,0,6.1417
0.294984358,0.591646099,0.046560209,0.066809335,6.640233333
0.145459939,0.117441687,0.07996426,0.657134115,4.26555
0.609205035,0.270849149,0.018561567,0.101384249,6.708733333
0.306195674,0.323824841,0.267521709,0.102457777,6.7666
0.737,0.084,0.156,0.023,9.5701
0.208,0.204,0.0272,0.5598,4.425266667
0.424,0.179,0.04,0.357,5.1435
0.209,0.204,0.136,0.451,5.6047
0.178,0.46,0.182,0.177,5.7401
0.17,0.511,0.175,0.144,6.06265
0.457,0.215,0.135,0.194,6.0312
0.60077922,0.181239218,0.197109482,0.02087208,8.6417
0.199041257,0.418815839,0.151674252,0.230468652,5.9078
0.191924175,0.434927597,0.314093674,0.059054554,6.980066667
0.000606208,0.464481834,0.203657096,0.331254863,5.98265
0.654797164,0.00452672,0.308055839,0.032620277,9.44085
0.162678965,0.142784845,0.547531943,0.147004247,6.3664
0.414151686,0.362645371,0.041474397,0.181728545,6.01815
0.502471145,0.307974833,0.035221932,0.15433209,6.19875
0.470329377,0.288274486,0.006752858,0.234643279,5.553333333
0.374126367,0.409003293,0.011910952,0.204959388,5.7047
0.198217838,0.280891479,0.399387227,0.121503456,6.62435
0.274138539,0.425153915,0.129608214,0.171099332,6.19015
0.287580127,0.606190709,0.060910528,0.045318636,6.84595
0.059243895,0.29093159,0.066437122,0.583387393,4.8601
0.22188523,0.28924467,0.090839272,0.398030827,4.934533333
0,0,0.8,0.2,5.6178
0.08,0,0.72,0.2,5.8859
0.16,0,0.64,0.2,6.12655
0.24,0,0.56,0.2,6.3431
0.32,0,0.48,0.2,6.54135
0.4,0,0.4,0.2,6.72835
0.48,0,0.32,0.2,6.887833333
0.56,0,0.24,0.2,7.047
0.64,0,0.16,0.2,7.1263
0.72,0,0.08,0.2,7.0628
0.8,0,0,0.2,6.9667
0,0.15,0,0.85,4.4168
0.17,0.15,0,0.68,4.2317
0.34,0.15,0,0.51,4.34455
0.51,0.15,0,0.34,5.0238
0.68,0.15,0,0.17,6.3664
0.85,0.15,0,0,9.32905
0.8,0,0.2,0,11.1745
0.8,0,0.16,0.04,10.3645
0.8,0,0.12,0.08,9.46035
0.8,0,0.08,0.12,8.5916
0.8,0,0.04,0.16,7.70925
0.8,0,0,0.2,6.9206
0.78,0.11,0,0.11,7.4575
0.64,0.19,0.04,0.13,6.4921
0.5,0.26,0.09,0.15,6.3248
0.36,0.34,0.13,0.17,6.2229
0.21,0.41,0.18,0.2,6.1321
0.07,0.49,0.22,0.22,6.48
0.051020408,0.12244898,0.087755102,0.73877551,4.3821
0.292929293,0.117171717,0.004040404,0.585858586,4.1443
0.183673469,0.285714286,0.016326531,0.514285714,5.364
0,0.418367347,0.275510204,0.306122449,6.2153
0.275510204,0.281632653,0.024489796,0.418367347,4.3689
0.408163265,0.112244898,0.112244898,0.367346939,4.9891
0.183673469,0.336734694,0.234693878,0.244897959,6.1
0.333333333,0.333333333,0.01010101,0.323232323,5.1485
0.418367347,0.204081633,0.081632653,0.295918367,5.4397
0.469387755,0.183673469,0.046938776,0.3,5.3827
0.488659794,0.175257732,0.04742268,0.288659794,5.448
0.612244898,0.067346939,0.014285714,0.306122449,5.4907
0.459183673,0.289795918,0.016326531,0.234693878,5.5624
0.285714286,0.357142857,0.265306122,0.091836735,7.0867
0.459183673,0.224489796,0.173469388,0.142857143,6.8081
0.387755102,0.428571429,0.040816327,0.142857143,6.5799
0.525773196,0.18556701,0.195876289,0.092783505,7.5983
0.428571429,0.442857143,0.036734694,0.091836735,6.59
0.704081633,0.142857143,0.016326531,0.136734694,6.9206
0.37755102,0.551020408,0.06122449,0.010204082,7.0791
0.642857143,0.204081633,0.153061224,0,8.9311
0.838383838,0.121212121,0.03030303,0.01010101,9.7258
